Id,Label,timeset,bipartite,title,subjects,modularity_class,Degree,componentnumber,Weighted Degree,eigencentrality,clustering,triangles,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks
41,921651,,1,Just Go To Bed (A Golden Look-Look Book),None,0,133,0,5.080105,0.31665,0.771702,6774,2,0.554643,0.598519,25.897128,0.00124
51,41667,,1,"My Side of the Mountain (Mountain, #1)",None,2,111,0,2.271967,0.216329,0.568059,3468,2,0.544794,0.582222,75.867344,0.000778
56,821056,,1,Hinds' Feet on High Places,None,1,119,0,5.041847,0.181708,0.582823,4092,2,0.548335,0.588148,68.538376,0.001491
67,11594337,,1,The One and Only Ivan,None,2,307,0,6.273963,0.568052,0.443146,20815,2,0.647172,0.727407,652.740495,0.001671
95,739840,,1,Bambi,None,4,202,0,9.062134,0.401127,0.551007,11186,2,0.587979,0.64963,244.591058,0.00206
100,23878688,,1,The 5 Love Languages: The Secret to Love that Lasts,None,1,154,0,2.766834,0.324155,0.58501,6892,2,0.564381,0.614074,112.71882,0.00084
110,8960,,1,"Vampire Mountain (Cirque Du Freak, #4)",None,3,69,0,7.900828,0.124148,0.804348,1887,3,0.526521,0.550864,10.454409,0.00184
112,53498,,1,"Love That Dog (Jack, #1)",None,2,74,0,1.67284,0.136686,0.524991,1418,2,0.528997,0.554815,55.385321,0.000658
119,196970,,1,The Night Before Christmas,None,0,326,0,9.811791,0.675564,0.518358,27460,2,0.65918,0.741481,448.578795,0.002226
133,8537327,,1,Inside Out &#38; Back Again,None,2,99,0,2.840079,0.197012,0.596578,2894,2,0.539568,0.573333,46.19031,0.0009
143,77394,,1,"Anne's House of Dreams (Anne of Green Gables, #5)",None,2,72,0,1.53603,0.159964,0.661972,1692,2,0.528169,0.553333,19.680445,0.000599
151,12842828,,1,"Keeper of the Lost Cities (Keeper of the Lost Cities, #1)",None,2,120,0,3.316198,0.241103,0.563866,4026,2,0.54878,0.588889,88.684051,0.001085
157,498641,,1,The Practice of the Presence of God,None,1,68,0,3.297482,0.087145,0.740123,1686,3,0.525292,0.54963,16.16697,0.001079
