Id,Label,timeset,bipartite,title,subjects,modularity_class,Degree,componentnumber,Weighted Degree,eigencentrality,clustering,triangles,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks
0,29802,,1,"Scott Pilgrim, Volume 3: Scott Pilgrim &#38; The Infinite Sadness",None,4,127,0,5.301785,0.192212,0.656543,5253,2,0.538508,0.571509,43.51673,0.000903
3,15839976,,1,"Red Rising (Red Rising Saga, #1)",None,6,446,0,8.548987,0.62064,0.469401,46581,2,0.667669,0.751126,730.649623,0.001173
12,227865,,1,The Eternity Code (Artemis Fowl #3),None,1,243,0,5.35575,0.348255,0.511819,15049,2,0.579256,0.636824,204.667581,0.000836
18,189147,,1,"To Your Scattered Bodies Go (Riverworld, #1)",None,6,141,0,4.442676,0.201852,0.577609,5701,2,0.543119,0.579392,58.336216,0.000715
68,17332218,,1,"Words of Radiance (The Stormlight Archive, #2)",None,3,545,0,16.659747,0.7492,0.444414,65880,2,0.721365,0.806869,1060.185945,0.001999
69,23168817,,1,"The Dark Forest (Remembrance of Earth&#8217;s Past, #2)",None,6,269,0,7.849582,0.394291,0.557316,20089,2,0.58925,0.651464,186.848878,0.001103
90,341735,,1,Replay,None,6,177,0,4.562048,0.268468,0.594954,9267,2,0.555347,0.599662,87.046861,0.000721
96,33453,,1,"You Suck (A Love Story, #2)",None,5,112,0,4.389988,0.160914,0.70769,4399,2,0.533654,0.563063,30.421831,0.00073
106,189783,,1,"The Elfstones of Shannara  (The Original Shannara Trilogy, #2)",None,7,251,0,10.077401,0.381324,0.58894,18478,2,0.582295,0.641329,136.086855,0.001283
107,24094,,1,"Wolf-Speaker (Immortals, #2)",None,1,203,0,11.030534,0.305857,0.672536,13789,2,0.564526,0.614302,64.278818,0.001371
111,19312,,1,The Brothers Lionheart,None,5,179,0,4.248467,0.287992,0.683573,10890,2,0.556043,0.600788,51.075388,0.000626
113,19486421,,1,"Skin Game (The Dresden Files, #15)",None,0,361,0,14.065293,0.526597,0.526439,34208,2,0.627562,0.703266,400.776054,0.001703
117,9268487,,1,"The Daylight War (Demon Cycle, #3)",None,3,397,0,15.800175,0.577357,0.518917,40790,2,0.643945,0.723536,454.193437,0.001901
123,154798,,1,Superman: Red Son,None,4,229,0,5.880962,0.316451,0.506474,13222,2,0.574014,0.628941,245.1862,0.000944
128,32758901,,1,"All Systems Red (The Murderbot Diaries, #1)",None,6,279,0,8.829987,0.41173,0.548464,21270,2,0.593186,0.657095,207.236624,0.001213
129,50027,,1,"Homeland (Forgotten Realms: The Dark Elf Trilogy, #1; Legend of Drizzt, #1)",None,0,364,0,13.442738,0.537278,0.538643,35586,2,0.628895,0.704955,356.346915,0.001641
131,107017,,1,"Batman: Hush, Vol. 1",None,4,103,0,2.938196,0.129815,0.630116,3310,2,0.530783,0.557995,35.761207,0.000583
141,7904453,,1,"The Broken Kingdoms (Inheritance, #2)",None,6,135,0,4.393498,0.207278,0.648646,5867,2,0.541133,0.576014,39.151264,0.000687
142,24963,,1,"Greenwitch (The Dark is Rising, #3)",None,0,171,0,4.255562,0.292751,0.738975,10741,2,0.553271,0.596284,37.454869,0.000644
150,6250169,,1,"Unseen Academicals (Discworld, #37; Rincewind #8)",None,5,197,0,15.299283,0.281633,0.64814,12513,2,0.562381,0.610923,83.093387,0.001768
155,32109569,,1,"We Are Legion (We Are Bob) (Bobiverse, #1)",None,6,246,0,6.437372,0.371985,0.572656,17257,2,0.580392,0.638514,148.711861,0.000937
164,6393082,,1,"Ender's Game, Volume 1: Battle School (Ender's Saga)",None,7,183,0,4.048419,0.292403,0.620068,10326,2,0.557439,0.603041,86.290563,0.000651
169,77366,,1,"The Hero and the Crown (Damar, #2)",None,1,220,0,7.141038,0.328502,0.615318,14823,2,0.570694,0.623874,99.817209,0.000971
181,35519109,,1,"Exit Strategy (The Murderbot Diaries, #4)",None,6,185,0,6.135643,0.278202,0.608402,10355,2,0.55814,0.604167,71.24866,0.000892
185,29396,,1,"Furies of Calderon (Codex Alera, #1)",None,0,477,0,17.575658,0.678393,0.482418,54767,2,0.683603,0.768581,727.2492,0.002071
187,365,,1,"Dirk Gently's Holistic Detective Agency (Dirk Gently, #1)",None,6,399,0,8.963554,0.552002,0.469238,37258,2,0.64488,0.724662,551.233562,0.001222
190,4407,,1,"American Gods (American Gods, #1)",None,4,630,0,10.353927,0.815775,0.388084,76893,2,0.774869,0.85473,1976.830237,0.001368
193,9577857,,1,1984,None,4,86,0,2.026752,0.117163,0.755404,2761,2,0.525444,0.548423,17.434717,0.000447
197,6120349,,1,"Locke &#38; Key, Vol. 2: Head Games",None,4,181,0,7.769532,0.250257,0.592695,9655,2,0.55674,0.601914,104.155883,0.001149
203,6736971,,1,"The Desert Spear (Demon Cycle, #2)",None,3,432,0,15.798365,0.62499,0.507197,47218,2,0.660714,0.743243,553.07673,0.001888
207,744615,,1,"Scott Pilgrim, Volume 4: Scott Pilgrim Gets It Together",None,4,155,0,5.8618,0.226391,0.60553,7227,2,0.54781,0.587275,77.065989,0.000977
218,16278318,,1,Armada,None,6,260,0,5.917797,0.39078,0.566142,19062,2,0.585752,0.646396,191.28819,0.000888
227,7332,,1,The Silmarillion,None,7,463,0,8.011083,0.650134,0.467205,49969,2,0.676314,0.760698,749.098158,0.001093
229,25733990,,1,"Sleeping Giants (Themis Files, #1)",None,3,192,0,4.52172,0.281881,0.560046,10269,2,0.560606,0.608108,115.111006,0.000723
240,31387205,,1,"Green Hair Don't Care (Snotgirl, #1)",None,4,48,0,1.17497,0.075573,0.726064,819,2,0.513889,0.527027,4.88728,0.000331
243,25105,,1,"Brief Lives (The Sandman, #7)",None,4,280,0,11.890023,0.397185,0.537916,21011,2,0.593583,0.657658,249.599121,0.001607
245,34963526,,1,"Saga, Vol. 8",None,4,103,0,4.519286,0.139367,0.719589,3780,2,0.530783,0.557995,21.767774,0.000744
262,887877,,1,"Red Seas Under Red Skies (Gentleman Bastard, #2)",None,3,460,0,14.152916,0.657256,0.485166,51219,2,0.674772,0.759009,695.07907,0.00175
268,154091,,1,"Mona Lisa Overdrive (Sprawl, #3)",None,6,142,0,4.293214,0.227906,0.671661,6724,2,0.543452,0.579955,35.710003,0.000681
276,19536001,,1,Sex Criminals: Volume One: One Weird Trick,None,4,147,0,4.437836,0.197448,0.561364,6024,2,0.54512,0.58277,88.337331,0.000757
299,29800,,1,"Scott Pilgrim, Volume 1: Scott Pilgrim's Precious Little Life",None,4,322,0,5.220615,0.446664,0.48513,25072,2,0.610729,0.681306,447.119908,0.000856
303,70539,,1,"2010: Odyssey Two (Space Odyssey, #2)",None,6,146,0,3.989125,0.222974,0.629381,6662,2,0.544785,0.582207,46.415097,0.00065
320,1270615,,1,"Buffy the Vampire Slayer: The Long Way Home (Season 8, Volume 1)",None,4,79,0,2.216819,0.107986,0.568322,1751,2,0.523276,0.544482,21.112941,0.000446
326,22328,,1,"Neuromancer (Sprawl, #1)",None,6,428,0,8.950456,0.565831,0.433146,39580,2,0.658754,0.740991,818.110121,0.001241
327,3428935,,1,"The Warded Man (Demon Cycle, #1)",None,3,493,0,16.13042,0.702472,0.482775,58550,2,0.692128,0.77759,738.430296,0.001928
357,22381326,,1,"Half a War (Shattered Sea, #3)",None,3,233,0,10.748009,0.337283,0.560086,15138,2,0.575502,0.631194,165.290626,0.001386
363,28689,,1,"Stone of Farewell (Memory, Sorrow, and Thorn, #2)",None,3,310,0,9.294227,0.459332,0.534858,25617,2,0.60573,0.67455,270.788964,0.001219
367,373915,,1,20th Century Ghosts,None,6,119,0,2.926203,0.185729,0.64948,4560,2,0.535908,0.567005,29.044344,0.000522
372,29467232,,1,"The Blood Mirror (Lightbringer, #4)",None,3,233,0,9.901192,0.358697,0.627312,16955,2,0.575502,0.631194,110.02717,0.001266
390,3972,,1,"Olympos (Ilium, #2)",None,6,170,0,6.618738,0.261854,0.635921,9135,2,0.552927,0.595721,62.318864,0.000944
403,25812667,,1,"Written in Fire (Brilliance Saga, #3)",None,6,135,0,3.715242,0.211136,0.688668,6229,2,0.541133,0.576014,34.566643,0.000638
423,2845024,,1,Anathem,None,6,207,0,8.727676,0.291055,0.593452,12653,2,0.565966,0.616554,106.326961,0.001221
429,7329,,1,Unfinished Tales of N&#250;menor and Middle-Earth,None,7,132,0,3.510438,0.232662,0.787532,6809,2,0.540146,0.574324,15.860057,0.000557
430,77160,,1,"Across the Nightingale Floor (Tales of the Otori, #1)",None,3,110,0,2.543752,0.189883,0.746956,4478,2,0.533013,0.561937,13.526747,0.000457
436,386372,,1,"Mort (Death, #1; Discworld, #4)",None,5,514,0,13.895883,0.689219,0.430541,56763,2,0.703645,0.789414,1132.364625,0.001692
442,34510,,1,"Moving Pictures (Discworld, #10; Industrial Revolution, #1)",None,5,209,0,14.593847,0.323488,0.665348,14462,2,0.566688,0.61768,92.179333,0.001699
444,359375,,1,Night Watch (Watch #1),None,3,130,0,3.382211,0.202037,0.620513,5203,2,0.53949,0.573198,41.669202,0.000571
445,61179,,1,"Ringworld (Ringworld, #1)",None,6,379,0,9.835511,0.508982,0.463766,33220,2,0.635648,0.713401,560.592618,0.001358
449,9615347,,1,Anya's Ghost,None,4,96,0,2.391911,0.118492,0.539254,2459,2,0.528571,0.554054,39.365197,0.000503
451,239399,,1,"The Ghost Brigades (Old Man's War, #2)",None,6,393,0,12.320519,0.547627,0.483954,37278,2,0.642082,0.721284,528.285143,0.001609
465,188230,,1,Crocodile on the Sandbank (Amelia Peabody #1),None,7,168,0,3.475959,0.259823,0.587682,8244,2,0.552239,0.594595,79.450092,0.00058
467,21094993,,1,The Girl Who Saved the King of Sweden,None,5,71,0,1.884447,0.108782,0.84829,2108,2,0.520821,0.539977,5.386168,0.000379
469,29397,,1,"Woken Furies (Takeshi Kovacs, #3)",None,6,271,0,9.583612,0.404711,0.570015,20854,2,0.590033,0.65259,179.595496,0.001284
